[542.4150630292243, 132.51218800606455]
[510.33228705042, 146.34072602887454]
[456.97889675904935, 141.86260811547245]
[490.24856742273016, 140.05306963880972]
[422.6926389042172, 104.92839230512082]
[425.5746289645783, 132.00516501626723]
[463.41497140213886, 98.37853053662238]
[497.6838547427567, 135.82275389774182]
[564.4806409122081, 188.9219449310415]
[538.2035826052971, 187.04025913568137]
[640.3894492138993, 214.97926887963902]
[573.0090708893966, 167.3978411606899]
[545.5550869186732, 194.4849747555175]
[515.9949017021175, 175.03627607379826]
[500.40566334646104, 499.9249763956347]
[474.93243356470145, 205.87725863935788]
[501.7727297216448, 498.0283425885385]
[501.4958894933644, 206.06947905532869]
[505.902742374579, 491.7593018099184]
[555.5058995001999, 226.55225421831602]
[512.2137188096501, 473.46104894061307]
[522.2710949285615, 213.33721170130588]
[521.4007203738935, 448.2236289635998]
[522.733018217475, 200.52325580784876]
[531.0397246709312, 389.6911323953974]
[601.9196278356595, 197.29307002768934]
[524.8931026844649, 314.855485059094]
[494.36520890817263, 155.9076728273491]
[570.3674499299966, 278.4739450905567]
[524.5376195895117, 221.40591615523874]
[570.4111315498543, 264.74419325372355]
[522.2426526415485, 220.1319125171789]
[565.6885004306713, 193.65852938564382]
[459.5168248827457, 248.57126497235822]
[519.348527202362, 181.93760773739794]
[498.2762215651983, 288.5063801324154]
[474.64344425357734, 166.87069505983413]
[510.74530416796347, 304.3020297142148]
[484.24637231393405, 169.9093114898269]
[536.6628967459038, 290.9208026558328]
[426.1776208718712, 148.60824414639907]
[479.2578151457599, 257.1343251630815]
[409.39692232772086, 161.19463960316415]
[417.82814753203263, 275.0239300472851]
[322.82129555164187, 138.66298804004057]
[379.91004824981667, 219.00676423972948]
[342.28990462076234, 151.03901622163312]
[366.5778350544381, 221.34679078785427]
[329.64436562328, 108.89669738535729]
[425.31585711173994, 222.24329912101064]
[360.14380393432265, 83.94192656488723]
[369.881369388058, 185.42078784136967]
[376.4901485256652, 89.66948943886877]
[370.26063529661593, 195.76701226725527]
[398.3328003534148, 109.30654604249995]
[313.1875519744579, 172.7200791672516]
[395.3228156641633, 130.2658969420621]
[290.53416820502974, 97.94720150625237]
[381.5108320774336, 104.61712927351753]
[317.28304883218084, 160.88447010705409]
[413.4951398939283, 177.80012041787978]
[415.1541922393808, 204.0892077335174]
[525.4802003727806, 233.3571277372894]
[562.7661413062599, 234.12363518341286]
[555.8852938035212, 251.0291450597876]
[529.9045555970908, 213.39916254472104]
[630.4126226964567, 241.27113401922443]
[516.564418154022, 194.8487920890483]
[621.7308795630585, 199.42091223255326]
[514.8008820893895, 136.199396334509]
[553.0824910033073, 203.10787444866781]
[575.2196404695908, 179.64622720554672]
[531.1378579652906, 208.45865134405935]
[604.2049522189374, 166.382497059432]
[449.9818323032479, 198.17281924556298]
[562.9632939988234, 193.51887469696769]
[398.82782173895976, 216.40144757447877]
[555.2752933828925, 185.83502462888822]
[374.36934951221053, 222.96703897327316]
[546.7820598522163, 157.19292635757495]
[401.5909100799469, 192.88009688452118]
[543.1465879789538, 148.5725036548273]
[394.64945768019686, 198.83677677368274]
[555.1695614752189, 165.82845151330645]
[405.0353454736185, 206.42867319877675]
[620.1749312939527, 184.99765212631146]
[419.89363073102595, 242.50237224531008]
[644.759220526683, 215.62144939220755]
[458.1086118040929, 239.5780616325727]
[654.9076321898633, 203.54478276445806]
[518.1734314714768, 224.36629612516077]
[606.2834563739657, 224.03281969269466]
[489.06729949041477, 185.7766715669718]
[541.033178387346, 224.87228380489577]
[458.56913984696587, 185.23090521639395]
[570.2951162650247, 251.90005907299698]
[511.06762146082207, 224.25141071225877]
[588.442452554885, 290.0187605286937]
[561.4470413640339, 249.46990912077888]
[546.3037241013491, 248.99101110505032]
[541.6124274104334, 229.77711382333302]
[532.6964632847354, 234.92415950483172]
[500.3698593338426, 197.17394605007556]
[516.0962593543719, 238.66845868874566]
[506.6783481221804, 211.35060999414208]
[487.1664611799627, 244.52307305346486]
[499.03917362615033, 263.78905239938535]
[461.0285925731929, 248.4754352911415]
[589.6501214117337, 247.43461687313248]
[470.08524161130356, 270.6390809505074]
[571.5803705193063, 281.630681896496]
[451.7441315409059, 262.9837687864277]
[574.7632273664449, 223.89054862297803]
[513.908536058742, 261.32288955686414]
[549.7129426817044, 254.72887093661586]
[513.2701174869655, 266.55602467935915]
[555.4699150869495, 275.61711359824614]
[508.52119452363684, 225.13450244051532]
[619.1291159765083, 261.32666023571414]
[588.231766992795, 208.66099888893734]
[697.4222111316827, 267.6103830942388]
[616.5468420525772, 180.389370885042]
[622.7774336733668, 194.62715175168125]
[683.8253332737629, 185.75512564728905]
[657.2817981821505, 206.00641288521066]
[731.3336540117568, 185.81530018716347]
[679.958801591157, 219.4659858817644]
[768.9864343788352, 208.60509974474775]
[719.6145584766628, 233.31701148428164]
[792.8583919340059, 251.64844534732532]
[685.5830691369572, 256.3459332738573]
[771.0548314757781, 264.05373831563134]
[686.35748964276, 288.9963502678192]
[733.2592372722264, 297.81988057864385]
[708.6944246703855, 299.07741575428025]
[719.3395519698124, 287.3336404810983]
[731.9775298181692, 312.51271288995184]
[693.7123614287558, 280.38105908029576]
[677.8345658280965, 293.169000730572]
[614.3233513752239, 291.7068448072242]
[608.6944571627628, 299.52779817113253]
[510.4658309472568, 274.05765838166843]
[553.3205063252418, 234.78034213195198]
[503.92067799355067, 298.1524389389286]
[459.29915017241456, 239.638773085539]
[467.3106584890669, 323.06364099466583]
[438.1712313082842, 260.87807164509707]
[429.7068410866162, 320.56066779529624]
[409.66988425312127, 274.40447475756696]
[407.47747374837337, 304.89906711501317]
[391.2823687329098, 301.1004609392777]
[360.3377137281934, 324.8284328853377]
[299.6059701109649, 297.668828492102]
[331.4799093926425, 293.47574456412815]
[264.0486031787201, 313.7474899477972]
[349.15317730349534, 302.26678808239296]
[306.89139760185657, 309.9236259439955]
[387.01625286204273, 268.86828037269305]
[327.3931420473274, 245.01160017702279]
[404.09162981848607, 283.4774391453963]
[384.3710429281269, 248.99382308316086]
[373.95963452215295, 242.9128044803792]
[439.4160403212271, 233.6760111479318]
[467.5586752841213, 248.83541336728126]
[436.86498334841485, 189.7443111114839]
[488.9973997882665, 203.86630678928404]
[461.00928971843115, 181.60825844070774]
[481.86352892606527, 198.12417362539887]
[457.696271706992, 167.11478505130972]
[479.9896620950486, 196.30657119975515]
[497.15506991673794, 174.1125138770341]
[478.11534015158543, 183.86431415305924]
[537.5323436558318, 178.495864080138]
[520.8480982850514, 184.75662827102585]
[643.790492144563, 123.0213018596759]
[630.648368164228, 191.02375987521515]
[692.4672406264093, 114.0621832260961]
[663.5688776609352, 186.2424946888584]
[644.3144765879474, 119.81762770250839]
[713.4437905412705, 150.89127449079868]
[660.59478983027, 120.97961469256742]
[733.3527407821091, 145.02290063934808]
[611.2912109135528, 98.80562393494739]
[691.5205387475319, 148.49346762573805]
[658.8748158665962, 116.79331762596796]
[657.0358056199624, 122.92747865584863]
[671.4113270507579, 113.66215691421762]
[673.4229801558253, 148.88339911827674]
[674.9559775544867, 135.01424738867937]
[655.1516504410962, 130.74040176900786]
[655.185803545723, 122.42195216445937]
[657.813864820311, 94.12683612868015]
[677.8053440086547, 89.41119766240286]
[654.6792756868286, 98.04795461207233]
[665.0316156861736, 76.65278170992507]
[675.2040788695181, 81.18357264776905]
[673.216265775256, 90.24785752527413]
[666.7845732922661, 106.85108022378338]
[692.7964205655145, 149.88257580187917]
[654.685359947085, 120.38743042593393]
[695.0770208349792, 182.5842716472541]
[721.6352952420727, 190.2680802738115]
[698.3998146275881, 185.01055903309495]
[745.8759207080823, 150.69971448452412]
[726.0106929715453, 191.84598778158625]
[756.0037888165637, 159.77790035499308]
[756.806899013108, 201.75241088495108]
[771.19796331529, 179.36060260187764]
[797.0294395277843, 239.9356685018779]
[825.5685125912, 236.27369844077617]
[822.6690232953383, 257.10177864772174]
[849.6073862012449, 259.98790504725713]
[854.8238755923069, 261.3875626461626]
[895.5888144696696, 274.75905656669045]
[867.5131265624285, 263.02199897792775]
[879.7985599412583, 227.5704833326098]
[881.7469784189, 252.8710920987428]
[941.4032159672544, 202.56410499833902]
[913.6560061728286, 215.34032220638593]
[989.3876750774579, 210.5481894262491]
[975.8588177876757, 175.03500246890675]
[985.5375289176322, 170.4041640929383]
[927.4915942125727, 114.80852073585231]
[944.2971525250684, 128.22235630771542]
[938.5859013953651, 102.98448581656174]
[931.4894576253203, 138.93456204600952]
[953.6060554084447, 120.66617353490092]
[928.5037681356067, 127.98421277000645]
[921.7875124498437, 42.47607604064876]
[864.9570245443073, 45.91938565656582]
[977.3494745628942, 7.625037948958726]
[875.5091779393225, -5.189294450747379]
[961.4151434167077, -39.46304779809819]
[872.7856532105839, -31.34047021372698]
[950.1125985663986, -13.986102299835366]
[849.908886005234, 5.098331080247583]
[952.4324603540782, 48.21809976647171]
[851.2819466094675, 45.84013752663384]
[932.9363908923824, 107.01618463605044]
[840.9188148475306, 92.87827671338533]
[900.2103912698398, 162.61066851091834]
[801.6344529546204, 123.91085720506209]
[848.8239664425768, 186.9083822978095]
[822.9396529972951, 165.03289140215122]
[841.5822002682835, 211.47206566810817]
[790.8604514359021, 184.6579083849578]
[836.5694206724959, 233.69569563137148]
[776.4717724644776, 171.8052051400701]
[868.7339870844742, 253.48517064466142]
[812.6479163554311, 174.9123813030698]
[854.9502766582141, 264.0229704257108]
[802.1223978116792, 226.04196781205403]
[779.6862127279144, 252.24413551501348]
[769.9591556307212, 274.6428909606781]
[841.8352295471782, 273.94804989342157]
[760.8818755188461, 257.28624532403705]
[826.2220942181582, 288.4660012004909]
[782.3722320385019, 286.9263988149804]
[781.6700954659856, 253.78388128430257]
[779.083592377115, 256.37834403476637]
[740.9898735547109, 176.99530306796345]
[775.6847243650728, 255.01331083352997]
[779.3806318826438, 191.3803537394445]
[812.4865269263494, 205.18180297470514]
[824.2413734220102, 202.22993175006332]
[861.7305381480097, 217.18900851406835]
[848.0368928151667, 230.1369572112589]
[871.3977304796001, 224.37183260815567]
[847.0189849645501, 240.37469889211826]
[843.7490142226591, 221.21295731716927]
[778.9716265267475, 239.0268884344487]
[776.7854685251671, 209.68056450465963]
[742.7539247955934, 220.6461447810774]
[767.5875738653397, 153.95023750582186]
[758.8786690537106, 216.934034108734]
[773.8839737868847, 139.3806362668595]
[777.3214208348055, 193.08373971596953]
[936.5555214745248, 172.2464713449727]
[924.1971129457165, 210.02174132676384]
[926.2316873283693, 209.40982322509979]
[944.7772893289767, 208.89880634101803]
[927.2316483067113, 168.88989625262974]
[929.5164536358385, 182.12323148701506]
[925.0271164019805, 185.96605105814672]
[893.9702245614819, 158.933968444898]
[893.9116267293031, 185.7324974726569]
[846.7380477858252, 171.16281147565934]
[927.2092932337982, 193.46209993703292]
[860.8164642397649, 157.01658608287232]
[968.6038537389427, 228.8914545546605]
[909.0795747189113, 199.15597017879713]
[969.8091559686845, 212.61078810157858]
[906.0486101054856, 175.97667178780983]
[937.0874114044467, 239.46251341690535]
[952.3083981265631, 198.79165123991825]
[945.0977153213962, 243.94367003749645]
[944.0780751976095, 192.54664649017133]
[989.7984929223863, 270.6114366412477]
[908.2187446680756, 185.25007580935932]
[901.2771138856956, 243.40909842452385]
[914.9147192735091, 205.9788259281179]
[916.8642733321691, 262.7141175302354]
[938.3962845693311, 197.52813592166734]
[932.0877944976224, 245.22070978940292]
[900.1735791270687, 179.87195396148505]
[927.3095353208934, 245.3848347671553]
[860.188842867267, 189.38329438415215]
[899.2390991240169, 226.40864736430325]
[806.3711837171857, 170.21669378386375]
[878.1746598837616, 152.46465215008556]
[827.0464359846253, 197.14221397111768]
[914.0665867080004, 175.0533483611285]
[811.6051208875039, 206.77402769168046]
[862.0493521921696, 180.95524817842494]
[784.2480573382218, 207.73884751456907]
[827.763965111411, 192.23729101668977]
[809.9555083186325, 218.2089378098176]
[836.6539882778518, 179.61004823829603]
[795.226824783504, 212.18533095424363]
[808.8879957696051, 207.8892949912446]
[818.7655441641297, 221.05577327926667]
[883.0921297943829, 241.53855432715312]
[838.3319442404945, 252.4342413760185]
[848.2683483685954, 251.4628819100838]
[827.2959412956056, 247.0846830795963]
[830.2833349096977, 246.42240764840804]
[858.6976860275505, 229.9274018491365]
[845.8088176744559, 245.86550308221422]
[812.779049951095, 220.48496610329735]
[862.5750675143657, 256.6428773965307]
[729.368592767839, 205.68321932337648]
[847.8364536592621, 245.73722936080088]
[734.0118941292203, 207.19703497547923]
[793.6827038497328, 238.53006052568122]
[745.4961599905511, 156.09615097217613]
[773.276376358811, 245.72786823293137]
[728.4232625749936, 184.79202904603687]
[685.0758314615736, 198.334173207564]
[742.9348179093689, 191.6042258048491]
[694.6249269997204, 173.00252976025055]
